Unnamed: 0,vehicle_name,engine_size(l),cylinders,fuel_type,fuel_consumption_comb_(mpg),co2_emissions(g/km)
0,ACURA_ILX,2.0,4,Z,33,196
1,ACURA_ILX,2.4,4,Z,29,221
2,ACURA_ILX_HYBRID,1.5,4,Z,48,136
3,ACURA_MDX_4WD,3.5,6,Z,25,255
4,ACURA_RDX_AWD,3.5,6,Z,27,244
5,ACURA_RLX,3.5,6,Z,28,230
6,ACURA_TL,3.5,6,Z,28,232
7,ACURA_TL_AWD,3.7,6,Z,25,255
8,ACURA_TL_AWD,3.7,6,Z,24,267
9,ACURA_TSX,2.4,4,Z,31,212
10,ACURA_TSX,2.4,4,Z,29,225
11,ACURA_TSX,3.5,6,Z,27,239
12,ALFA_ROMEO_4C,1.8,4,Z,34,193
13,ASTON_MARTIN_DB9,5.9,12,Z,18,359
14,ASTON_MARTIN_RAPIDE,5.9,12,Z,18,359
15,ASTON_MARTIN_V8_VANTAGE,4.7,8,Z,19,338
16,ASTON_MARTIN_V8_VANTAGE,4.7,8,Z,18,354
17,ASTON_MARTIN_V8_VANTAGE_S,4.7,8,Z,19,338
18,ASTON_MARTIN_V8_VANTAGE_S,4.7,8,Z,18,354
19,ASTON_MARTIN_VANQUISH,5.9,12,Z,18,359
20,AUDI_A4,2.0,4,Z,32,202
21,AUDI_A4_QUATTRO,2.0,4,Z,28,230
22,AUDI_A4_QUATTRO,2.0,4,Z,30,214
23,AUDI_A5_CABRIOLET_QUATTRO,2.0,4,Z,28,230
24,AUDI_A5_QUATTRO,2.0,4,Z,28,230
25,AUDI_A5_QUATTRO,2.0,4,Z,30,214
26,AUDI_A6_QUATTRO,2.0,4,Z,28,235
27,AUDI_A6_QUATTRO,3.0,6,Z,26,251
28,AUDI_A6_QUATTRO_TDI_(modified),3.0,6,D,35,217
29,AUDI_A7_QUATTRO,3.0,6,Z,25,262
30,AUDI_A7_QUATTRO_TDI_(modified),3.0,6,D,35,217
31,AUDI_A8,3.0,6,Z,25,258
32,AUDI_A8,4.0,8,Z,25,265
33,AUDI_A8_TDI_(modified),3.0,6,D,34,224
34,AUDI_A8L,3.0,6,Z,25,258
35,AUDI_A8L,4.0,8,Z,23,288
36,AUDI_A8L,6.3,12,Z,18,363
37,AUDI_A8L_TDI_(modified),3.0,6,D,34,224
38,AUDI_ALLROAD_QUATTRO,2.0,4,Z,27,242
39,AUDI_Q5,2.0,4,Z,27,239
40,AUDI_Q5,3.0,6,Z,25,258
41,AUDI_Q5_TDI_(modified),3.0,6,D,31,244
42,AUDI_Q5_HYBRID,2.0,4,Z,31,212
43,AUDI_Q7,3.0,6,Z,21,304
44,AUDI_Q7_TDI_(modified),3.0,6,D,26,290
45,AUDI_R8,4.2,8,Z,19,336
46,AUDI_R8,4.2,8,Z,16,407
47,AUDI_R8,5.2,10,Z,19,347
48,AUDI_R8,5.2,10,Z,16,409
49,AUDI_R8_SPYDER,4.2,8,Z,19,336
50,AUDI_R8_SPYDER,4.2,8,Z,16,407
51,AUDI_R8_SPYDER,5.2,10,Z,19,347
52,AUDI_R8_SPYDER,5.2,10,Z,16,409
53,AUDI_RS_5,4.2,8,Z,21,306
54,AUDI_RS_5_CABRIOLET,4.2,8,Z,21,308
55,AUDI_RS_7,4.0,8,Z,23,293
56,AUDI_S4,3.0,6,Z,25,262
57,AUDI_S4,3.0,6,Z,23,285
58,AUDI_S5,3.0,6,Z,25,262
59,AUDI_S5,3.0,6,Z,23,285
60,AUDI_S5_CABRIOLET,3.0,6,Z,24,267
61,AUDI_S6,4.0,8,Z,23,281
62,AUDI_S7,4.0,8,Z,23,281
63,AUDI_S8,4.0,8,Z,22,300
64,AUDI_SQ5,3.0,6,Z,22,292
65,AUDI_TT_COUPE_QUATTRO,2.0,4,Z,31,209
66,AUDI_TT_ROADSTER_QUATTRO,2.0,4,Z,31,209
67,AUDI_TTS_COUPE_QUATTRO,2.0,4,Z,27,237
